"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.159.241","239.255.255.250","UDP/XML","698","51697  >  3702 Len=656"
"2","0.000479","fe80::85a4:4fb8:dd29:d0aa","ff02::c","UDP/XML","718","51698  >  3702 Len=656"
"3","0.051145","Siemens_96:53:b5","LLDP_Multicast","LLDP","345","LA/S7-1200                   6ES7 212-1BE40-0XB0  S C-H3SE0080         4 V  4  4  0 LA/port-001.s7xb1200xbopc-uaxbsimulation9ee2 20 SysD=Siemens, SIMATIC S7, CPU-1200, 6ES7 212-1BE40-0XB0, HW: 4, FW: V.4.4.0, S C-H3SE0080 RTClass3 Port Status = OFF"
"4","0.516259","TPLink_73:76:c4","Broadcast","Realtek","60",""
"5","0.554081","192.168.159.241","239.255.255.250","UDP/XML","698","51697  >  3702 Len=656"
"6","0.570366","fe80::85a4:4fb8:dd29:d0aa","ff02::c","UDP/XML","718","51698  >  3702 Len=656"
"7","1.516461","TPLink_73:76:c4","Broadcast","Realtek","60",""
"8","1.636771","192.168.159.241","239.255.255.250","UDP/XML","698","51697  >  3702 Len=656"
"9","1.715745","fe80::85a4:4fb8:dd29:d0aa","ff02::c","UDP/XML","718","51698  >  3702 Len=656"
"10","2.002882","192.168.159.241","192.168.159.198","TCP","66","62984  >  4840 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"11","2.004747","192.168.159.198","192.168.159.241","TCP","60","4840  >  62984 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460"
"12","2.004863","192.168.159.241","192.168.159.198","TCP","54","62984  >  4840 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"13","2.005471","192.168.159.241","192.168.159.198","OpcUa","116","Hello message"
"14","2.039687","192.168.159.198","192.168.159.241","OpcUa","82","Acknowledge message"
"15","2.041965","192.168.159.241","192.168.159.198","OpcUa","187","OpenSecureChannel message"
"16","2.057698","192.168.159.198","192.168.159.241","OpcUa","190","OpenSecureChannel message"
"17","2.062124","192.168.159.241","192.168.159.198","OpcUa","355","UA Secure Conversation Message: CreateSessionRequest"
"18","2.179947","192.168.159.198","192.168.159.241","TCP","1514","4840  >  62984 [ACK] Seq=165 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 25]"
"19","2.180962","192.168.159.198","192.168.159.241","TCP","1514","4840  >  62984 [ACK] Seq=1625 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 25]"
"20","2.181037","192.168.159.241","192.168.159.198","TCP","54","62984  >  4840 [ACK] Seq=497 Ack=3085 Win=65535 Len=0"
"21","2.182961","192.168.159.198","192.168.159.241","TCP","1514","4840  >  62984 [ACK] Seq=3085 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 25]"
"22","2.182961","192.168.159.198","192.168.159.241","TCP","1514","4840  >  62984 [ACK] Seq=4545 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 25]"
"23","2.183030","192.168.159.241","192.168.159.198","TCP","54","62984  >  4840 [ACK] Seq=497 Ack=6005 Win=65535 Len=0"
"24","2.185889","192.168.159.198","192.168.159.241","TCP","1514","4840  >  62984 [ACK] Seq=6005 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 25]"
"25","2.185889","192.168.159.198","192.168.159.241","OpcUa","946","UA Secure Conversation Message (Message fragment 52)"
"26","2.185955","192.168.159.241","192.168.159.198","TCP","54","62984  >  4840 [ACK] Seq=497 Ack=8357 Win=65535 Len=0"
"27","2.195985","192.168.159.198","192.168.159.241","TCP","1514","4840  >  62984 [ACK] Seq=8357 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 28]"
"28","2.195985","192.168.159.198","192.168.159.241","OpcUa","1430","UA Secure Conversation Message: CreateSessionResponse (Message Reassembled)"
"29","2.196113","192.168.159.241","192.168.159.198","TCP","54","62984  >  4840 [ACK] Seq=497 Ack=11193 Win=65535 Len=0"
"30","2.203393","192.168.159.241","192.168.159.198","OpcUa","171","UA Secure Conversation Message: ActivateSessionRequest"
"31","2.219793","192.168.159.198","192.168.159.241","OpcUa","106","UA Secure Conversation Message: ServiceFault"
"32","2.224361","192.168.159.241","192.168.159.198","OpcUa","182","UA Secure Conversation Message: ReadRequest"
"33","2.349664","192.168.159.198","192.168.159.241","OpcUa","106","UA Secure Conversation Message: ServiceFault"
"34","2.349800","192.168.159.241","192.168.159.198","OpcUa","117","UA Secure Conversation Message: CloseSessionRequest"
"35","2.352100","192.168.159.241","192.168.159.198","OpcUa","111","CloseSecureChannel message: CloseSecureChannelRequest"
"36","2.360637","192.168.159.198","192.168.159.241","TCP","60","4840  >  62984 [ACK] Seq=11297 Ack=863 Win=8135 Len=0"
"37","2.368575","192.168.159.241","192.168.159.198","TCP","66","62985  >  4840 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"38","2.368638","192.168.159.198","192.168.159.241","OpcUa","106","UA Secure Conversation Message: ServiceFault"
"39","2.368739","192.168.159.241","192.168.159.198","TCP","54","62984  >  4840 [RST, ACK] Seq=863 Ack=11349 Win=0 Len=0"
"40","2.381629","192.168.159.198","192.168.159.241","TCP","60","4840  >  62985 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460"
"41","2.381768","192.168.159.241","192.168.159.198","TCP","54","62985  >  4840 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"42","2.383409","192.168.159.241","192.168.159.198","OpcUa","116","Hello message"
"43","2.431644","192.168.159.198","192.168.159.241","OpcUa","82","Acknowledge message"
"44","2.434846","192.168.159.241","192.168.159.198","OpcUa","187","OpenSecureChannel message"
"45","2.437370","LuxsharePrec_e3:7e:93","LLDP_Multicast","LLDP","143","LA/heiko LA/port-001 20 SysN=HEIKO SysD=LENOVO 82QG,Yoga 7 16IAP7,PF48WSD7 RTClass3 Port Status = OFF"
"46","2.449679","192.168.159.198","192.168.159.241","OpcUa","190","OpenSecureChannel message"
"47","2.453819","192.168.159.241","192.168.159.198","OpcUa","355","UA Secure Conversation Message: CreateSessionRequest"
"48","2.517398","TPLink_73:76:c4","Broadcast","Realtek","60",""
"49","2.566971","192.168.159.198","192.168.159.241","TCP","1514","4840  >  62985 [ACK] Seq=165 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 56]"
"50","2.569934","192.168.159.198","192.168.159.241","TCP","1514","4840  >  62985 [ACK] Seq=1625 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 56]"
"51","2.570019","192.168.159.241","192.168.159.198","TCP","54","62985  >  4840 [ACK] Seq=497 Ack=3085 Win=65535 Len=0"
"52","2.574920","192.168.159.198","192.168.159.241","TCP","1514","4840  >  62985 [ACK] Seq=3085 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 56]"
"53","2.574920","192.168.159.198","192.168.159.241","TCP","1514","4840  >  62985 [ACK] Seq=4545 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 56]"
"54","2.575013","192.168.159.241","192.168.159.198","TCP","54","62985  >  4840 [ACK] Seq=497 Ack=6005 Win=65535 Len=0"
"55","2.577849","192.168.159.198","192.168.159.241","TCP","1514","4840  >  62985 [ACK] Seq=6005 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 56]"
"56","2.577849","192.168.159.198","192.168.159.241","OpcUa","946","UA Secure Conversation Message (Message fragment 52)"
"57","2.577944","192.168.159.241","192.168.159.198","TCP","54","62985  >  4840 [ACK] Seq=497 Ack=8357 Win=65535 Len=0"
"58","2.587856","192.168.159.198","192.168.159.241","TCP","1514","4840  >  62985 [ACK] Seq=8357 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 59]"
"59","2.587856","192.168.159.198","192.168.159.241","OpcUa","1430","UA Secure Conversation Message: CreateSessionResponse (Message Reassembled)"
"60","2.587976","192.168.159.241","192.168.159.198","TCP","54","62985  >  4840 [ACK] Seq=497 Ack=11193 Win=65535 Len=0"
"61","2.595510","192.168.159.241","192.168.159.198","OpcUa","171","UA Secure Conversation Message: ActivateSessionRequest"
"62","2.611654","192.168.159.198","192.168.159.241","OpcUa","106","UA Secure Conversation Message: ServiceFault"
"63","2.616420","192.168.159.241","192.168.159.198","OpcUa","195","UA Secure Conversation Message: ReadRequest"
"64","2.739756","192.168.159.198","192.168.159.241","OpcUa","106","UA Secure Conversation Message: ServiceFault"
"65","2.739881","192.168.159.241","192.168.159.198","OpcUa","117","UA Secure Conversation Message: CloseSessionRequest"
"66","2.742700","192.168.159.241","192.168.159.198","OpcUa","111","CloseSecureChannel message: CloseSecureChannelRequest"
"67","2.744708","192.168.159.241","192.168.159.198","TCP","66","62986  >  4840 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"68","2.747763","192.168.159.198","192.168.159.241","TCP","60","4840  >  62985 [ACK] Seq=11297 Ack=876 Win=8135 Len=0"
"69","2.750752","192.168.159.198","192.168.159.241","TCP","60","4840  >  62986 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460"
"70","2.750897","192.168.159.241","192.168.159.198","TCP","54","62986  >  4840 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"71","2.752960","192.168.159.241","192.168.159.198","OpcUa","116","Hello message"
