frame_no,rel_time,src,dst,srcport,dstport,proto,length,tcp_stream,seq,ack,win,flags,is_retx,is_ooo,is_ka,is_zerowin,opcua_type,opcua_service,opcua_reqid,opcua_seq,opcua_chunk
1,2025-08-12 15:26:44.944137,192.168.159.241,192.168.159.198,62984,4840,TCP,66,0,0,0,65535,,0,0,0,0,,,,,
2,2025-08-12 15:26:44.946002,192.168.159.198,192.168.159.241,4840,62984,TCP,60,0,0,1,8192,,0,0,0,0,,,,,
3,2025-08-12 15:26:44.946118,192.168.159.241,192.168.159.198,62984,4840,TCP,54,0,1,1,65535,,0,0,0,0,,,,,
4,2025-08-12 15:26:44.946726,192.168.159.241,192.168.159.198,62984,4840,TCP,116,0,1,1,65535,,0,0,0,0,,,,,
5,2025-08-12 15:26:44.980942,192.168.159.198,192.168.159.241,4840,62984,TCP,82,0,1,63,8192,,0,0,0,0,,,,,
6,2025-08-12 15:26:44.983220,192.168.159.241,192.168.159.198,62984,4840,TCP,187,0,63,29,65507,,0,0,0,0,,,,,
7,2025-08-12 15:26:44.998953,192.168.159.198,192.168.159.241,4840,62984,TCP,190,0,29,196,8192,,0,0,0,0,,,,,
8,2025-08-12 15:26:45.003379,192.168.159.241,192.168.159.198,62984,4840,TCP,355,0,196,165,65371,,0,0,0,0,,,,,
9,2025-08-12 15:26:45.121202,192.168.159.198,192.168.159.241,4840,62984,TCP,1514,0,165,497,8192,,0,0,0,0,,,,,
10,2025-08-12 15:26:45.122217,192.168.159.198,192.168.159.241,4840,62984,TCP,1514,0,1625,497,8192,,0,0,0,0,,,,,
11,2025-08-12 15:26:45.122292,192.168.159.241,192.168.159.198,62984,4840,TCP,54,0,497,3085,65535,,0,0,0,0,,,,,
12,2025-08-12 15:26:45.124216,192.168.159.198,192.168.159.241,4840,62984,TCP,1514,0,3085,497,8192,,0,0,0,0,,,,,
13,2025-08-12 15:26:45.124216,192.168.159.198,192.168.159.241,4840,62984,TCP,1514,0,4545,497,8192,,0,0,0,0,,,,,
14,2025-08-12 15:26:45.124285,192.168.159.241,192.168.159.198,62984,4840,TCP,54,0,497,6005,65535,,0,0,0,0,,,,,
15,2025-08-12 15:26:45.127144,192.168.159.198,192.168.159.241,4840,62984,TCP,1514,0,6005,497,8192,,0,0,0,0,,,,,
16,2025-08-12 15:26:45.127144,192.168.159.198,192.168.159.241,4840,62984,TCP,946,0,7465,497,8192,,0,0,0,0,,,,,
17,2025-08-12 15:26:45.127210,192.168.159.241,192.168.159.198,62984,4840,TCP,54,0,497,8357,65535,,0,0,0,0,,,,,
18,2025-08-12 15:26:45.137240,192.168.159.198,192.168.159.241,4840,62984,TCP,1514,0,8357,497,8192,,0,0,0,0,,,,,
19,2025-08-12 15:26:45.137240,192.168.159.198,192.168.159.241,4840,62984,TCP,1430,0,9817,497,8192,,0,0,0,0,,,,,
20,2025-08-12 15:26:45.137368,192.168.159.241,192.168.159.198,62984,4840,TCP,54,0,497,11193,65535,,0,0,0,0,,,,,
21,2025-08-12 15:26:45.144648,192.168.159.241,192.168.159.198,62984,4840,TCP,171,0,497,11193,65535,,0,0,0,0,,,,,
22,2025-08-12 15:26:45.161048,192.168.159.198,192.168.159.241,4840,62984,TCP,106,0,11193,614,8192,,0,0,0,0,,,,,
23,2025-08-12 15:26:45.165616,192.168.159.241,192.168.159.198,62984,4840,TCP,182,0,614,11245,65483,,0,0,0,0,,,,,
24,2025-08-12 15:26:45.290919,192.168.159.198,192.168.159.241,4840,62984,TCP,106,0,11245,742,8192,,0,0,0,0,,,,,
25,2025-08-12 15:26:45.291055,192.168.159.241,192.168.159.198,62984,4840,TCP,117,0,742,11297,65431,,0,0,0,0,,,,,
26,2025-08-12 15:26:45.293355,192.168.159.241,192.168.159.198,62984,4840,TCP,111,0,805,11297,65431,,0,0,0,0,,,,,
27,2025-08-12 15:26:45.301892,192.168.159.198,192.168.159.241,4840,62984,TCP,60,0,11297,863,8135,,0,0,0,0,,,,,
28,2025-08-12 15:26:45.309830,192.168.159.241,192.168.159.198,62985,4840,TCP,66,1,0,0,65535,,0,0,0,0,,,,,
29,2025-08-12 15:26:45.309893,192.168.159.198,192.168.159.241,4840,62984,TCP,106,0,11297,863,8135,,0,0,0,0,,,,,
30,2025-08-12 15:26:45.309994,192.168.159.241,192.168.159.198,62984,4840,TCP,54,0,863,11349,0,,0,0,0,0,,,,,
31,2025-08-12 15:26:45.322884,192.168.159.198,192.168.159.241,4840,62985,TCP,60,1,0,1,8192,,0,0,0,0,,,,,
32,2025-08-12 15:26:45.323023,192.168.159.241,192.168.159.198,62985,4840,TCP,54,1,1,1,65535,,0,0,0,0,,,,,
33,2025-08-12 15:26:45.324664,192.168.159.241,192.168.159.198,62985,4840,TCP,116,1,1,1,65535,,0,0,0,0,,,,,
34,2025-08-12 15:26:45.372899,192.168.159.198,192.168.159.241,4840,62985,TCP,82,1,1,63,8192,,0,0,0,0,,,,,
35,2025-08-12 15:26:45.376101,192.168.159.241,192.168.159.198,62985,4840,TCP,187,1,63,29,65507,,0,0,0,0,,,,,
36,2025-08-12 15:26:45.390934,192.168.159.198,192.168.159.241,4840,62985,TCP,190,1,29,196,8192,,0,0,0,0,,,,,
37,2025-08-12 15:26:45.395074,192.168.159.241,192.168.159.198,62985,4840,TCP,355,1,196,165,65371,,0,0,0,0,,,,,
38,2025-08-12 15:26:45.508226,192.168.159.198,192.168.159.241,4840,62985,TCP,1514,1,165,497,8192,,0,0,0,0,,,,,
